"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 16:27:05 GMT 2024","Fri Oct 11 16:27:05 GMT 2024","36","QA - Team Members","Profile","Get Profile","","","Get Profile",""
"passed","Fri Oct 11 16:27:03 GMT 2024","Fri Oct 11 16:27:03 GMT 2024","73","QA - Team Members","Projects","List Projects","","","List Projects-No Auth",""
"passed","Fri Oct 11 16:27:02 GMT 2024","Fri Oct 11 16:27:02 GMT 2024","45","QA - Team Members","Authentication","Forgot Password","","","Initialize Forgot Password-Empty Fields",""
"passed","Fri Oct 11 16:27:02 GMT 2024","Fri Oct 11 16:27:02 GMT 2024","381","QA - Team Members","Authentication","Login","","","Login - No Auth",""
"passed","Fri Oct 11 16:27:05 GMT 2024","Fri Oct 11 16:27:05 GMT 2024","34","QA - Team Members","Profile","Update Profile","","","Update Profile",""
"passed","Fri Oct 11 16:27:06 GMT 2024","Fri Oct 11 16:27:06 GMT 2024","49","QA - Team Members","Profile","Update Profile","","","Update Profile - No Auth",""
"passed","Fri Oct 11 16:27:02 GMT 2024","Fri Oct 11 16:27:02 GMT 2024","57","QA - Team Members","Authentication","Forgot Password","","","Complete Forgot Password-Empty password confirmation",""
"passed","Fri Oct 11 16:27:02 GMT 2024","Fri Oct 11 16:27:02 GMT 2024","39","QA - Team Members","Authentication","Forgot Password","","","Complete Forgot Password-Empty Fields",""
"passed","Fri Oct 11 16:27:04 GMT 2024","Fri Oct 11 16:27:04 GMT 2024","60","QA - Team Members","Projects","List Project Reports","","","List Project Reports-No ID",""
"passed","Fri Oct 11 16:27:02 GMT 2024","Fri Oct 11 16:27:02 GMT 2024","50","QA - Team Members","Authentication","Forgot Password","","","Complete Forgot Password",""
"passed","Fri Oct 11 16:27:06 GMT 2024","Fri Oct 11 16:27:06 GMT 2024","32","QA - Team Members","Profile","Enable 2FA","","","Enable 2FA",""
"passed","Fri Oct 11 16:27:04 GMT 2024","Fri Oct 11 16:27:04 GMT 2024","59","QA - Team Members","Projects","List Project Reports","","","List Project Reports-Invalid ID",""
